Player,Pos,Team,Opp,Start/Line,PP Unit,Goals,Win %,Salary,Ceiling,Avg,FC Proj,My Proj,Exp.,Used,Con.,Value
Guillaume Brisebois,D,VAN,@ EDM,,,2.53,42.6%,3500,0.00,0.9,0.00,0.00,100,,2,0.00
Erik Burgdoerfer,D,WSH,@ STL,,,2.48,41%,3500,0.00,0.8,0.00,0.00,100,,0,0.00
Travis Dermott,D,TOR,vs OTT,,,4.13,73.5%,3500,0.00,4.9,0.00,0.00,100,,43,0.00
Christian Djoos,D,WSH,@ STL,,,2.48,41%,3500,0.00,3.2,0.00,0.00,100,,34,0.00
Jake Dotchin,D,STL,vs WSH,,,3.02,59%,3500,0.00,3.4,0.00,0.00,100,,32,0.00
Kevin Gravel,D,TOR,vs OTT,,,4.13,73.5%,3500,0.00,2.8,0.00,0.00,100,,33,0.00
Ben Harpur,D,TOR,vs OTT,,,4.13,73.5%,3500,0.00,3.0,0.00,0.00,100,,46,0.00
Justin Holl,D,TOR,vs OTT,,,4.13,73.5%,3500,0.00,0.9,0.00,0.00,100,,0,0.00
Nick Jensen,D,WSH,@ STL,2,,2.48,41%,3500,35.2,5.5,4.70,4.70,100,,51,1.34
Caleb Jones,D,EDM,vs VAN,,,2.97,57.4%,3500,0.00,4.4,0.00,0.00,100,,39,0.00
Tyler Lewington,D,WSH,@ STL,,,2.48,41%,3500,0.00,2.3,0.00,0.00,100,,0,0.00
Jaycob Megna,D,VGK,vs SJ,,,3.69,62.3%,3500,0.00,3.2,0.00,0.00,100,,22,0.00
Ashton Sautner,D,VAN,@ EDM,,,2.53,42.6%,3500,0.00,2.6,0.00,0.00,100,,38,0.00
Jordan Schmaltz,D,TOR,vs OTT,,,4.13,73.5%,3500,0.00,2.3,0.00,0.00,100,,21,0.00
Jonas Siegenthaler,D,WSH,@ STL,1,,2.48,41%,3500,12.8,2.6,2.23,2.23,100,,33,0.64
Andreas Englund,D,OTT,@ TOR,,,2.37,26.5%,3500,0.00,1.2,0.00,0.00,100,,38,0.00
Rob O'Gara,D,STL,vs WSH,,,3.02,59%,3500,0.00,3.8,0.00,0.00,100,,53,0.00
Matt Benning,D,EDM,vs VAN,3,,2.97,57.4%,3500,32.8,5.5,6.32,6.32,100,,47,1.81
Tim Heed,D,SJ,@ VGK,,,2.81,37.7%,3500,0.00,2.7,0.00,0.00,100,,7,0.00
Maxime Lajoie,D,OTT,@ TOR,,,2.37,26.5%,3500,0.00,6.5,0.00,0.00,100,,43,0.00
Keaton Middleton,D,SJ,@ VGK,,,2.81,37.7%,3500,0.00,0.0,0.00,0.00,100,,0,0.00
Radim Simek,D,SJ,@ VGK,,,2.81,37.7%,3500,0.00,2.1,0.00,0.00,100,,6,0.00
Oscar Fantenberg,D,VAN,@ EDM,,,2.53,42.6%,3500,0.00,3.4,0.00,0.00,100,,36,0.00
Christian Jaros,D,OTT,@ TOR,,,2.37,26.5%,3500,0.00,4.2,0.00,0.00,100,,40,0.00
Christian Wolanin,D,OTT,@ TOR,,,2.37,26.5%,3500,0.00,6.0,0.00,0.00,100,,48,0.00
Nicolas Hague,D,VGK,vs SJ,,,3.69,62.3%,3500,0.00,2.3,0.00,0.00,100,,0,0.00
Erik Brannstrom,D,OTT,@ TOR,2,2,2.37,26.5%,3500,3.2,0.8,3.73,3.73,100,,17,1.07
Rasmus Sandin,D,TOR,vs OTT,3,,4.13,73.5%,3500,14.4,3.6,7.12,7.12,100,,35,2.03
Evan Bouchard,D,EDM,vs VAN,,,2.97,57.4%,3500,0.00,4.0,0.00,0.00,100,,32,0.00
Jimmy Schuldt,D,VGK,vs SJ,,,3.69,62.3%,3500,0.00,4.0,0.00,0.00,100,,0,0.00
